Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance,Last generation
SL-B CR-PMX PR-25,2,6 1 14 25 16 26 4 3 11 30 12 20 7 13 2 15 23 17 22 19 24 5 18 29 28 10 8 21 9 27 ,2128020,23 2 11 3 25 4 16 24 22 29 20 17 28 15 12 14 8 27 9 21 26 19 7 6 1 10 30 13 5 18 ,2056840,63
SL-R CR-OX PR-16,4,14 25 13 16 5 2 27 12 29 4 19 23 26 9 7 3 20 17 18 28 30 22 11 15 10 21 24 1 6 8 ,2090980,17 11 14 8 5 16 22 15 25 7 20 23 24 21 19 27 13 10 12 2 1 4 6 28 30 26 18 3 9 29 ,2057910,3
SL-B CR-OX PR-50,3,9 5 8 1 26 27 24 21 4 19 29 3 16 12 13 17 10 20 22 14 25 6 7 23 11 28 2 15 18 30 ,2137690,24 18 7 26 3 25 5 29 2 11 30 27 13 10 17 4 14 12 1 22 20 23 8 19 16 21 28 6 9 15 ,2062250,108
SL-R CR-OX PR-25,1,30 13 14 9 28 5 22 1 27 6 12 2 4 19 23 24 29 17 26 15 16 11 10 25 20 21 18 8 7 3 ,2129160,1 3 25 11 26 28 2 8 19 29 23 9 27 17 30 4 14 12 22 13 21 20 15 10 16 7 24 6 5 18 ,2062460,114
SL-B CR-OX PR-50,1,2 16 24 19 25 17 15 26 27 12 30 8 3 22 6 5 10 28 29 4 1 13 20 23 18 14 11 21 7 9 ,2144590,3 27 4 21 14 1 20 12 19 17 26 8 28 10 25 24 2 30 7 18 29 9 23 15 11 13 22 6 16 5 ,2064160,154
SL-R CR-OX PR-50,5,2 16 6 15 24 12 8 1 7 20 27 17 22 10 23 29 19 26 13 4 5 11 14 25 18 3 28 30 9 21 ,2097400,3 18 19 9 30 11 14 29 15 23 27 6 21 10 22 16 8 17 5 25 2 12 1 13 20 7 28 24 4 26 ,2067990,28
SL-UT CR-OX PR-16,2,1 26 27 5 21 4 11 16 13 19 2 22 14 10 23 3 25 18 15 6 17 30 28 12 29 9 8 7 20 24 ,2151720,17 12 25 19 18 2 16 20 10 28 6 22 14 1 15 9 23 3 24 7 27 8 26 21 13 5 30 29 11 4 ,2068750,39
SL-R CR-PMX PR-16,3,13 10 8 20 7 17 25 1 18 15 22 21 27 11 12 4 23 5 9 14 2 6 24 29 26 3 16 30 19 28 ,2090370,14 18 30 3 19 7 15 27 12 24 16 2 22 25 21 17 6 20 29 10 9 5 11 28 1 23 4 26 13 8 ,2068780,95
SL-R CR-PMX PR-50,5,20 21 15 13 26 16 7 23 14 2 6 22 27 12 5 19 10 25 18 8 30 3 29 9 24 1 4 17 28 11 ,2126980,6 21 18 19 16 25 7 4 30 28 22 14 13 5 11 9 23 12 8 27 2 24 26 20 17 15 3 29 1 10 ,2073060,82
SL-R CR-PMX PR-50,1,28 11 18 12 3 7 15 9 27 16 17 23 21 29 30 6 26 8 10 5 22 13 2 14 19 4 24 1 20 25 ,2129770,10 9 13 28 6 12 14 11 23 1 3 26 8 2 20 22 21 18 15 30 5 7 29 24 17 4 25 27 19 16 ,2074360,113
SL-R CR-PMX PR-16,1,3 5 30 12 23 19 2 15 29 24 8 13 27 11 16 14 4 22 9 7 6 26 10 28 1 17 25 18 21 20 ,2142050,10 29 26 16 9 3 24 18 6 14 23 12 21 17 8 19 5 20 22 30 15 28 13 11 1 25 2 27 7 4 ,2077160,8
SL-R CR-OX PR-50,4,14 25 11 1 27 19 21 30 29 8 13 24 26 16 28 23 5 12 9 3 15 7 17 10 4 20 2 18 6 22 ,2129470,23 19 11 6 7 5 12 15 22 13 9 4 2 10 17 25 8 21 26 24 16 27 28 3 18 30 29 1 20 14 ,2078360,47
SL-R CR-PMX PR-25,1,4 5 1 29 6 27 11 17 20 18 13 30 14 2 24 9 16 3 12 21 26 7 23 19 22 15 10 8 25 28 ,2157650,28 1 13 12 3 24 23 20 8 19 14 6 7 5 30 17 15 2 22 10 4 27 16 18 26 9 25 11 29 21 ,2078630,39
SL-R CR-OX PR-25,5,9 17 27 20 4 1 2 6 21 24 19 15 18 28 25 13 8 30 7 29 26 10 12 23 3 11 14 22 5 16 ,2117070,28 20 13 4 14 16 24 10 27 21 2 15 19 6 25 11 29 18 8 17 12 22 26 1 3 9 23 30 7 5 ,2078990,120
SL-R CR-PMX PR-25,4,4 9 8 1 29 24 7 13 25 16 12 21 22 5 20 19 14 15 10 6 2 26 3 28 18 17 23 11 30 27 ,2150690,28 10 13 7 11 27 12 19 15 25 6 24 9 22 17 23 5 20 8 18 2 21 30 16 1 29 14 26 4 3 ,2079480,120
SL-R CR-OX PR-50,1,8 26 7 14 4 19 12 30 6 16 27 17 3 23 10 28 9 11 24 1 15 22 29 5 25 18 21 20 13 2 ,2113490,25 20 12 21 5 15 19 29 3 23 8 13 18 4 2 17 1 11 28 6 22 26 16 9 27 14 30 10 24 7 ,2079780,50
SL-R CR-OX PR-16,1,24 20 7 18 25 2 28 21 29 19 30 16 4 12 6 1 27 11 22 8 17 15 10 26 13 3 5 23 14 9 ,2118260,24 9 2 12 29 8 10 25 18 22 27 5 15 20 6 1 21 11 19 17 23 13 26 30 28 14 3 4 16 7 ,2080330,68
SL-R CR-OX PR-25,2,7 20 10 21 27 14 1 3 23 12 26 8 30 15 25 13 4 28 24 18 9 5 6 11 19 17 2 29 16 22 ,2147660,6 20 26 27 3 22 10 25 18 29 4 24 16 28 14 15 13 23 21 2 5 9 11 1 12 19 7 30 8 17 ,2080980,20
SL-R CR-OX PR-50,3,13 19 26 15 4 20 25 5 1 12 8 6 7 16 11 14 29 17 18 27 30 3 24 28 2 21 10 23 9 22 ,2128580,10 1 15 20 6 4 7 23 19 16 26 30 28 18 11 14 29 24 27 5 17 3 12 21 22 13 9 2 25 8 ,2081040,8
SL-R CR-PMX PR-50,3,6 15 27 19 16 1 7 26 29 5 18 2 17 28 8 25 9 13 23 21 20 12 3 11 22 10 14 4 30 24 ,2135620,22 9 26 14 25 7 19 11 21 15 18 5 1 10 17 30 20 3 12 6 13 27 4 8 28 2 23 29 24 16 ,2081460,60
SL-R CR-PMX PR-50,4,19 11 17 10 14 13 7 8 21 3 26 27 18 29 4 5 28 12 22 1 30 23 2 6 20 24 16 9 15 25 ,2126890,26 29 23 25 4 11 12 18 5 7 8 27 13 24 22 16 17 19 1 30 2 28 6 3 21 14 10 15 9 20 ,2083170,109
SL-R CR-OX PR-25,3,9 1 22 15 21 7 6 18 29 26 20 25 28 5 23 27 19 10 4 12 3 11 2 8 30 16 24 14 13 17 ,2128490,23 15 16 25 30 27 13 24 14 26 6 8 17 21 29 4 18 19 5 3 2 28 20 1 9 10 7 11 12 22 ,2084650,62
SL-R CR-OX PR-16,5,29 17 23 13 26 28 11 3 21 15 10 24 8 9 7 4 2 5 27 6 16 19 1 18 12 20 22 25 30 14 ,2127320,18 3 17 14 10 5 2 13 4 28 8 11 23 12 30 6 22 24 26 1 21 9 15 29 7 19 25 20 16 27 ,2088630,75
SL-R CR-OX PR-16,2,7 18 17 6 8 2 26 25 4 5 27 16 9 23 24 19 28 10 29 11 13 15 1 22 20 30 21 14 3 12 ,2140860,1 25 19 9 30 17 13 22 21 27 10 6 8 15 2 12 26 20 7 11 29 14 4 28 24 5 3 23 16 18 ,2089440,19
SL-R CR-PMX PR-25,5,17 24 6 10 25 8 12 21 5 11 1 22 28 19 15 14 23 20 4 3 18 29 26 2 13 30 9 27 7 16 ,2127090,15 18 1 19 25 3 9 26 13 17 27 23 8 2 21 29 11 10 14 28 5 20 7 12 22 24 6 16 4 30 ,2093930,62
SL-R CR-OX PR-50,2,30 8 18 20 27 12 16 25 7 15 13 21 9 6 2 10 22 19 17 1 28 23 24 3 4 29 5 11 26 14 ,2131540,3 1 20 25 26 9 17 13 27 30 8 19 16 21 2 12 5 10 18 22 4 24 23 29 11 15 7 28 6 14 ,2095950,17
SL-R CR-PMX PR-25,3,13 18 9 8 5 11 4 2 1 25 26 22 7 28 30 15 21 29 24 10 14 19 6 23 17 27 12 20 16 3 ,2123400,7 21 3 24 6 29 26 27 20 14 2 8 28 25 10 13 22 18 15 12 5 19 11 17 1 9 16 4 30 23 ,2096330,10
SL-R CR-OX PR-16,3,19 18 16 30 24 1 2 29 8 9 7 28 6 23 3 21 26 4 17 5 22 15 27 13 11 25 14 10 12 20 ,2122170,4 15 3 14 30 19 28 6 18 25 2 13 20 12 23 8 17 26 1 29 21 9 5 11 27 16 24 7 22 10 ,2097370,70
SL-R CR-PMX PR-16,4,20 17 7 2 25 13 10 22 16 27 26 18 14 3 4 1 24 9 21 23 11 5 29 15 12 6 30 28 8 19 ,2135860,3 1 26 12 21 27 30 2 16 4 18 13 25 23 7 24 5 9 10 14 11 20 28 22 15 8 29 6 19 17 ,2097880,4
SL-R CR-OX PR-25,4,20 18 14 13 12 16 25 2 4 27 6 10 11 22 23 30 8 1 3 21 17 5 28 24 7 29 15 9 19 26 ,2130160,13 1 30 21 26 29 27 22 28 16 12 7 6 5 3 2 23 9 4 20 19 18 10 14 25 24 17 15 8 11 ,2101440,13
SL-R CR-PMX PR-50,2,12 20 17 6 5 23 9 30 7 24 29 10 18 13 1 4 3 8 15 26 19 2 25 21 14 22 28 16 11 27 ,2137440,23 13 1 14 2 6 8 25 21 26 9 10 22 17 5 15 12 7 18 30 29 19 27 24 16 20 28 11 3 4 ,2102230,161
SL-R CR-PMX PR-25,2,6 25 5 7 18 29 3 22 15 30 28 12 10 21 16 1 24 14 11 4 17 26 20 13 8 9 19 23 2 27 ,2135950,8 23 16 5 25 1 22 27 4 26 3 13 12 2 11 9 28 19 7 20 6 18 10 24 29 15 30 17 14 21 ,2108080,11
SL-R CR-PMX PR-16,5,13 27 15 28 25 24 29 3 18 9 1 4 23 17 14 19 21 12 10 2 8 11 26 20 7 22 16 5 30 6 ,2144700,24 23 11 27 20 4 30 15 3 5 1 29 13 17 14 19 21 12 10 2 8 28 22 18 26 25 9 16 7 6 ,2108420,3
SL-R CR-PMX PR-16,2,2 26 10 9 12 25 15 29 24 5 27 14 30 28 3 6 20 23 18 13 11 1 22 7 8 17 21 4 19 16 ,2123760,20 25 26 17 15 7 1 6 24 4 2 18 30 22 11 21 23 12 3 13 16 28 5 10 8 29 27 14 19 9 ,2118670,38
