Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance,Last generation
SL-UT-C CR-PMX PR-50,5,20 15 8 19 4 5 3 7 28 18 24 6 2 11 9 1 27 16 26 25 13 10 22 29 12 14 30 17 23 21 ,2126870,25 28 30 4 5 2 19 21 3 17 11 16 10 15 22 26 12 20 13 9 6 29 18 14 27 23 7 24 8 1 ,1999600,25
SL-UT-C CR-PMX PR-25,3,27 13 28 18 10 19 5 12 23 14 16 15 30 21 9 26 1 6 4 20 17 24 7 29 3 2 8 11 25 22 ,2121340,10 8 26 9 14 22 3 18 12 30 29 19 6 27 5 7 2 20 17 16 4 15 1 13 25 21 11 24 28 23 ,1999760,49
SL-B CR-PMX PR-50,5,8 15 2 22 16 24 3 23 6 29 17 30 18 13 5 1 9 12 11 4 25 20 10 27 19 21 7 26 28 14 ,2123460,17 10 13 8 22 27 19 23 4 18 3 26 6 16 24 15 9 21 28 2 7 12 29 20 5 1 25 14 30 11 ,2001810,86
SL-B CR-PMX PR-16,2,25 30 13 10 15 22 28 3 9 19 26 29 5 27 14 7 20 12 1 16 2 11 17 18 24 4 6 21 23 8 ,2145660,27 8 17 30 26 19 23 3 4 25 18 13 14 9 10 21 2 20 29 28 7 16 22 12 1 24 11 15 5 6 ,2002510,99
SL-UT CR-PMX PR-50,4,14 23 6 2 30 16 28 22 9 29 4 17 20 13 7 12 10 8 24 27 1 26 21 19 11 3 18 15 5 25 ,2094730,13 4 9 5 23 25 14 21 17 7 12 3 2 8 24 10 1 16 15 28 18 6 11 22 20 26 27 29 30 19 ,2003940,21
SL-UT CR-PMX PR-25,5,29 20 5 3 15 13 23 9 22 1 26 2 19 12 7 21 6 10 4 28 18 17 16 14 8 27 30 25 24 11 ,2135860,4 20 5 3 26 29 6 21 25 1 2 13 22 9 12 30 15 19 28 7 23 17 16 14 8 10 11 27 18 24 ,2004430,41
SL-UT CR-PMX PR-25,3,28 29 17 30 26 19 12 14 21 25 23 24 8 11 20 13 5 15 18 1 27 16 9 2 7 3 22 10 4 6 ,2121240,30 18 24 9 4 1 12 11 14 8 19 27 28 25 3 21 15 10 7 16 22 13 2 17 26 5 29 20 23 6 ,2005840,48
SL-UT-C CR-PMX PR-50,3,28 24 4 6 10 26 2 20 27 11 23 14 13 18 22 1 19 29 21 12 16 17 30 25 9 7 8 3 5 15 ,2135760,10 15 2 13 11 25 20 28 27 24 23 9 17 21 19 3 1 30 6 26 12 18 29 8 16 4 14 7 22 5 ,2006390,22
SL-UT CR-PMX PR-16,3,19 25 26 13 27 10 17 12 2 6 23 9 3 7 14 22 28 24 16 4 20 21 18 29 15 8 30 1 5 11 ,2136370,30 14 2 26 22 15 6 18 17 7 20 13 4 21 24 29 23 3 8 16 5 1 28 27 9 10 25 11 19 12 ,2007180,39
SL-B CR-PMX PR-16,4,22 8 6 3 7 2 1 12 17 28 10 27 15 30 26 21 23 25 18 19 29 13 24 11 4 14 5 9 16 20 ,2131300,2 23 8 9 22 19 15 14 24 6 27 7 29 25 17 3 12 18 1 16 20 28 11 13 26 5 30 21 4 10 ,2008400,53
