Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-B CR-PMX PR-25;1;3 1 27 19 4 29 21 23 12 16 8 24 10 9 13 6 28 7 17 20 25 15 11 26 2 14 30 22 5 18 ;2.1086e+06;11 14 19 26 6 30 27 12 16 1 7 25 29 13 20 23 3 18 21 17 28 2 10 5 4 8 9 15 24 22 ;2.02271e+06;163
SL-B CR-PMX PR-25;2;6 3 18 15 11 21 27 28 14 13 9 8 29 26 10 12 24 19 1 4 30 20 5 23 16 7 2 22 25 17 ;2.10196e+06;14 21 22 7 13 1 27 26 4 2 23 29 20 28 24 25 10 8 17 6 19 18 12 11 16 30 15 5 9 3 ;1.98357e+06;159
SL-B CR-PMX PR-25;3;26 17 14 28 23 25 3 18 4 9 8 27 13 6 1 24 10 21 5 20 30 12 7 22 19 15 16 29 11 2 ;2.1224e+06;29 20 28 3 30 2 15 7 25 23 8 19 11 18 27 26 6 1 10 22 13 4 5 9 17 14 12 21 16 24 ;1.99293e+06;172
SL-B CR-PMX PR-25;4;22 10 29 7 3 14 1 2 17 28 8 16 20 23 9 12 24 5 25 26 11 6 27 19 15 21 30 13 18 4 ;2.12828e+06;23 16 25 6 30 2 18 1 22 24 28 3 21 5 11 14 17 15 20 27 29 8 10 7 13 4 12 26 19 9 ;2.01606e+06;166
SL-B CR-PMX PR-25;5;16 19 12 20 15 26 18 9 3 30 14 29 27 17 8 11 28 10 7 6 21 5 22 13 1 2 23 24 4 25 ;2.12921e+06;7 12 22 11 8 25 29 6 24 13 2 23 10 15 14 21 26 16 19 3 1 9 18 28 4 17 5 27 30 20 ;2.03686e+06;194
SL-B CR-PMX PR-50;1;12 2 20 13 7 29 5 24 1 4 17 26 23 15 27 30 16 11 9 22 6 19 21 18 14 8 25 3 10 28 ;2.13537e+06;16 3 14 6 26 24 17 20 28 5 10 21 23 9 13 25 1 22 15 19 11 29 27 7 8 12 4 2 18 30 ;2.0201e+06;188
SL-B CR-PMX PR-50;2;14 5 23 19 4 28 25 17 13 20 11 10 15 2 18 7 9 22 21 3 1 26 29 6 12 8 30 16 27 24 ;2.12808e+06;10 23 22 9 30 16 27 14 4 18 26 28 3 20 29 25 13 21 15 6 19 24 8 1 7 17 5 11 12 2 ;2.01425e+06;185
SL-B CR-PMX PR-50;3;18 13 16 24 12 9 29 30 4 14 2 8 15 10 7 19 1 27 5 3 21 25 17 6 28 26 20 23 22 11 ;2.13286e+06;21 18 25 2 7 20 13 11 1 15 27 6 24 19 14 22 17 10 3 28 29 12 26 16 5 30 8 23 4 9 ;1.99363e+06;164
SL-B CR-PMX PR-50;4;5 26 2 16 22 9 3 23 12 17 28 14 30 27 6 29 21 13 10 7 18 11 8 19 1 24 20 4 15 25 ;2.14306e+06;19 9 30 22 5 4 27 14 18 7 20 1 28 3 23 17 10 26 29 6 24 15 21 11 25 16 12 13 2 8 ;2.00081e+06;190
SL-B CR-PMX PR-50;5;20 19 17 3 27 11 7 22 24 10 15 30 21 6 26 2 28 25 1 14 13 9 16 23 29 12 5 8 18 4 ;2.14497e+06;8 15 5 3 30 25 7 17 16 2 29 14 13 24 21 23 26 11 1 27 6 20 12 22 19 18 4 10 28 9 ;1.98303e+06;298
SL-UT CR-OX PR-16;1;13 28 12 7 3 29 1 19 25 22 23 11 15 10 14 24 8 20 2 16 18 9 27 5 17 6 30 26 21 4 ;2.11665e+06;9 29 24 13 30 27 7 15 26 17 21 3 16 14 5 19 8 1 28 22 25 20 10 6 23 4 18 12 2 11 ;2.01815e+06;175
