Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-B2 PR-33 GI-0.2;5;20 3 19 4 18 28 29 21 1 5 6 26 11 16 8 10 30 7 15 27 22 12 24 13 23 25 2 14 9 17 ;2.21485e+06;2 3 19 4 6 25 13 10 1 11 21 18 23 16 8 28 14 7 24 27 9 12 20 5 17 29 30 15 22 26 ;1.92968e+06
SL-B22 PR-33 GI-0.2;1;16 21 3 25 1 9 28 6 14 4 23 10 7 20 18 13 17 22 8 15 12 2 19 29 5 27 24 11 30 26 ;2.17818e+06;16 21 3 1 25 27 7 8 6 26 11 19 14 18 10 13 17 22 23 15 29 5 20 12 2 9 24 28 30 4 ;1.92379e+06
SL-B22 PR-33 GI-0.2;2;5 20 17 4 3 27 7 9 12 30 29 26 25 19 28 22 1 14 18 8 24 23 6 10 13 11 21 16 2 15 ;2.19281e+06;5 20 22 4 26 17 24 9 8 6 14 13 3 12 10 25 27 29 18 19 7 23 21 28 1 11 30 16 2 15 ;1.94654e+06
SL-B22 PR-33 GI-0.2;3;2 9 13 10 4 8 14 17 29 23 18 27 21 24 5 25 6 22 15 1 16 3 12 30 20 28 7 26 11 19 ;2.28988e+06;21 9 8 15 4 13 28 20 29 23 24 5 17 30 27 2 14 16 10 1 3 6 12 18 26 22 7 25 11 19 ;1.93017e+06
SL-B22 PR-33 GI-0.2;4;23 11 8 19 12 28 7 9 20 14 24 17 27 18 21 26 5 3 6 1 10 29 15 16 4 30 13 22 2 25 ;2.16028e+06;8 15 25 2 5 28 7 9 20 14 24 17 3 19 21 26 1 27 6 13 10 29 18 22 23 30 16 12 11 4 ;1.957e+06
SL-B22 PR-33 GI-0.2;5;2 30 29 6 21 25 7 13 28 27 8 9 20 23 24 3 12 16 22 17 5 15 26 19 18 14 11 10 1 4 ;2.19318e+06;21 10 29 6 13 25 7 3 19 5 8 30 17 23 24 22 1 16 9 20 27 15 12 28 18 14 11 2 4 26 ;1.93924e+06
SL-B33 PR-33 GI-0.2;1;30 20 24 29 23 2 17 11 19 16 1 18 4 27 7 5 21 8 12 13 3 22 9 26 15 14 25 6 10 28 ;2.20555e+06;10 20 4 5 22 6 19 16 24 11 1 29 18 17 7 2 21 8 12 13 3 23 9 26 15 14 25 28 30 27 ;1.97305e+06
SL-B33 PR-33 GI-0.2;2;15 24 8 21 27 4 22 14 17 23 10 5 30 2 11 19 26 3 16 12 6 13 20 9 29 25 1 7 28 18 ;2.16139e+06;14 24 5 9 27 4 15 6 29 23 11 22 8 2 26 19 10 21 13 12 16 17 20 3 30 25 1 7 28 18 ;1.94015e+06
SL-B33 PR-33 GI-0.2;3;30 4 10 24 13 25 6 22 2 15 17 16 11 21 26 29 1 18 8 19 20 12 14 5 7 3 27 23 9 28 ;2.21818e+06;19 15 25 24 13 14 7 28 2 21 12 16 4 10 26 29 1 17 8 30 20 18 11 5 3 6 27 23 9 22 ;1.94163e+06
SL-B33 PR-33 GI-0.2;4;30 25 27 21 18 14 22 9 28 3 4 8 19 7 6 10 1 23 24 17 2 16 20 11 12 15 26 13 5 29 ;2.1919e+06;14 18 19 17 25 30 4 9 28 16 27 8 1 3 20 26 13 23 12 21 2 24 6 11 7 15 22 10 5 29 ;1.96142e+06
SL-B33 PR-33 GI-0.2;5;9 3 11 8 20 14 12 6 22 25 15 13 23 28 29 10 2 18 4 30 19 21 26 17 27 1 16 5 7 24 ;2.23378e+06;21 19 11 3 4 14 16 29 22 8 15 23 20 28 5 10 2 18 26 7 25 9 6 17 27 1 12 13 30 24 ;1.94603e+06
SL-B2 PR-33 GI-0.3;1;19 22 23 16 9 5 21 2 24 17 10 29 3 13 15 18 27 1 25 6 14 20 12 30 11 4 7 8 28 26 ;2.15058e+06;30 9 23 16 22 5 8 6 19 17 10 12 3 24 11 18 26 1 25 2 14 27 20 29 15 4 7 21 28 13 ;1.95343e+06
SL-B2 PR-33 GI-0.3;2;18 6 1 7 14 24 22 15 30 21 27 25 5 10 29 20 16 3 23 2 4 17 8 13 9 28 26 12 19 11 ;2.18462e+06;2 6 14 7 30 24 15 3 11 5 27 25 8 10 29 20 16 23 9 18 4 21 17 13 1 28 22 12 19 26 ;1.95056e+06
SL-B2 PR-33 GI-0.3;3;27 20 3 28 5 22 19 18 21 16 17 9 29 14 10 30 24 8 11 26 15 4 12 13 6 25 2 23 7 1 ;2.22814e+06;10 15 13 28 19 22 7 21 5 11 17 2 29 18 24 30 27 20 6 26 12 9 8 1 16 25 4 23 14 3 ;1.92111e+06
