Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-B50 PR-50 GI-0.2;2;13 2 5 7 29 21 28 18 14 17 27 19 8 6 9 10 20 11 12 3 16 30 1 24 26 22 25 23 4 15 ;2.24543e+06;18 17 16 7 29 5 28 15 21 9 19 11 2 6 8 13 20 14 24 3 27 30 1 23 26 22 25 10 4 12 ;1.94726e+06
SL-B50 PR-50 GI-0.2;3;22 29 2 6 20 24 14 16 9 27 7 17 8 4 12 15 21 11 26 28 3 18 1 5 10 30 25 13 19 23 ;2.17572e+06;22 20 16 24 14 3 21 30 28 27 7 12 8 17 26 15 29 11 9 6 4 18 1 5 10 2 25 13 19 23 ;1.95096e+06
SL-B50 PR-50 GI-0.2;4;8 2 13 29 15 26 4 19 23 20 5 12 11 1 3 21 27 28 7 24 14 17 16 18 10 6 9 30 25 22 ;2.19737e+06;27 2 13 28 16 11 4 19 23 20 1 30 5 15 3 18 8 10 7 24 26 29 6 21 22 14 9 12 25 17 ;1.91809e+06
SL-B50 PR-50 GI-0.2;5;20 6 5 14 10 9 2 30 15 23 1 25 24 17 12 18 7 3 16 13 4 8 27 26 28 11 29 22 21 19 ;2.22773e+06;20 10 5 28 7 16 2 30 15 25 18 23 27 17 9 11 24 3 8 13 6 1 14 26 4 12 29 22 21 19 ;1.95598e+06
SL-B2 PR-50 GI-0.3;1;5 17 13 20 28 29 18 25 21 30 9 26 15 24 6 22 16 7 14 12 23 8 19 1 2 27 3 11 10 4 ;2.21511e+06;21 23 19 6 25 4 30 28 22 13 9 24 15 29 26 7 8 5 14 20 10 16 18 1 2 12 3 11 17 27 ;1.96763e+06
SL-B2 PR-50 GI-0.3;2;28 3 10 17 7 12 27 4 13 29 8 21 5 24 19 25 22 11 26 14 6 20 9 23 18 2 15 16 30 1 ;2.18602e+06;28 5 21 17 19 16 26 30 13 29 7 4 10 24 2 25 1 8 27 14 3 20 9 23 18 11 15 12 6 22 ;1.9575e+06
SL-B2 PR-50 GI-0.3;3;18 24 21 26 1 17 22 14 12 5 20 25 6 29 16 15 19 10 11 27 23 13 2 4 30 3 28 9 8 7 ;2.22269e+06;18 17 21 7 19 5 6 14 23 20 26 30 8 2 1 16 12 10 24 4 11 29 27 15 25 3 28 9 22 13 ;1.91977e+06
SL-B2 PR-50 GI-0.3;4;9 20 3 2 11 7 13 26 23 14 24 17 16 8 19 27 21 10 28 25 12 15 4 6 18 30 29 5 22 1 ;2.1777e+06;7 20 30 18 25 15 13 9 2 14 12 24 22 8 26 6 21 10 28 19 17 16 5 27 23 11 29 3 4 1 ;1.96427e+06
SL-B2 PR-50 GI-0.3;5;20 18 26 12 8 17 9 22 4 2 24 21 10 14 25 5 19 6 30 23 13 3 29 16 15 27 11 1 7 28 ;2.19983e+06;20 14 30 4 25 17 21 22 27 18 24 23 10 12 8 5 7 9 26 6 13 16 28 29 15 2 11 1 19 3 ;1.95265e+06
SL-B33 PR-50 GI-0.3;1;17 16 27 15 26 24 22 1 6 11 14 5 29 21 8 28 9 13 3 7 23 18 4 19 12 2 25 20 10 30 ;2.14193e+06;17 18 30 15 5 24 22 1 6 11 3 12 29 21 8 28 9 19 27 7 23 16 14 13 4 2 25 26 10 20 ;1.96346e+06
SL-B33 PR-50 GI-0.3;2;2 17 10 11 9 29 5 20 28 13 30 23 4 18 22 16 15 12 1 8 7 27 14 19 21 26 25 3 24 6 ;2.19132e+06;2 17 6 11 9 29 5 20 30 13 19 22 7 10 25 16 3 12 1 18 8 27 14 21 28 26 23 15 24 4 ;1.96874e+06
SL-B33 PR-50 GI-0.3;3;13 16 10 24 2 18 5 3 20 23 9 27 22 7 6 14 1 12 25 4 21 28 19 8 11 26 30 15 29 17 ;2.16135e+06;13 11 10 8 2 18 5 16 26 3 9 4 7 23 6 14 1 12 20 25 21 28 19 24 22 27 30 15 29 17 ;1.98288e+06
SL-B33 PR-50 GI-0.3;4;11 28 8 21 1 4 14 12 29 20 9 19 30 3 24 6 23 26 18 27 13 22 10 7 15 25 2 16 5 17 ;2.19924e+06;11 28 18 21 30 16 14 12 29 9 4 24 1 3 20 7 23 26 8 15 13 22 10 19 27 25 2 6 5 17 ;1.96662e+06
SL-B33 PR-50 GI-0.3;5;15 12 14 13 24 30 9 27 11 1 26 2 16 29 8 25 20 28 3 17 18 5 19 21 10 22 7 23 4 6 ;2.17751e+06;15 27 24 13 16 30 9 12 14 19 21 2 23 17 8 25 29 28 3 1 18 20 5 26 10 22 7 11 4 6 ;1.96692e+06
SL-B50 PR-50 GI-0.3;1;27 7 17 23 11 14 4 2 18 29 13 1 19 22 25 5 26 15 10 16 24 28 12 8 21 3 6 30 20 9 ;2.13763e+06;12 20 17 23 25 14 4 1 10 29 13 2 19 22 27 30 26 15 11 5 16 28 18 8 24 3 6 21 7 9 ;1.92764e+06
SL-B50 PR-50 GI-0.3;2;12 15 14 18 30 19 23 10 22 9 13 21 28 16 4 29 7 27 26 3 1 2 11 25 6 20 24 17 8 5 ;2.16809e+06;21 15 19 24 30 14 23 27 22 29 13 9 28 16 25 7 4 10 8 3 1 2 11 17 6 20 18 12 5 26 ;1.95017e+06
SL-B50 PR-50 GI-0.3;3;9 22 19 11 14 30 21 27 28 20 12 5 15 29 3 24 6 17 1 25 26 2 16 4 13 10 18 23 7 8 ;2.27909e+06;5 22 19 29 11 30 21 27 24 17 1 9 15 20 3 12 16 8 26 25 6 2 4 14 13 10 18 23 28 7 ;1.96322e+06
SL-B50 PR-50 GI-0.3;4;27 5 26 11 9 10 15 23 14 19 24 30 2 8 4 18 22 28 21 16 17 20 29 3 13 6 7 1 25 12 ;2.146e+06;27 12 23 15 10 14 11 26 9 19 24 30 2 8 4 22 18 28 21 16 17 20 29 3 13 6 7 1 25 5 ;1.98723e+06
SL-B50 PR-50 GI-0.3;5;20 9 18 19 16 21 28 24 2 12 25 13 29 27 4 30 5 11 3 7 8 23 15 6 1 14 26 10 22 17 ;2.18216e+06;20 9 18 14 16 5 28 17 2 29 15 13 12 27 23 30 22 7 10 3 8 4 21 6 1 19 26 11 25 24 ;1.95947e+06
SL-B2 PR-50 GI-0.5;1;14 20 10 27 9 16 21 5 2 19 26 29 8 6 12 24 22 11 15 28 30 17 13 23 1 4 7 18 25 3 ;2.18178e+06;14 20 10 7 25 11 21 17 30 19 26 29 16 6 12 24 5 22 15 2 8 23 28 9 1 4 27 18 13 3 ;1.98535e+06
SL-B2 PR-50 GI-0.5;2;18 20 27 12 25 2 13 28 24 1 4 6 7 30 19 22 3 10 23 9 16 11 14 17 29 21 15 5 26 8 ;2.19909e+06;29 25 11 18 14 24 13 28 2 5 26 6 7 17 12 22 3 20 23 9 16 27 10 30 19 21 15 1 4 8 ;2.00339e+06
SL-B2 PR-50 GI-0.5;3;2 29 26 25 23 19 11 3 24 8 6 17 7 16 27 10 13 4 9 28 22 5 30 12 14 20 21 15 18 1 ;2.20322e+06;2 21 26 25 30 19 11 3 16 8 7 29 6 24 27 10 17 9 12 1 4 5 13 23 14 20 18 15 22 28 ;1.97117e+06
SL-B2 PR-50 GI-0.5;4;2 21 30 5 29 19 28 3 20 6 17 12 11 7 8 13 27 4 15 10 16 24 25 22 14 1 26 23 9 18 ;2.15723e+06;2 21 30 24 16 19 22 3 20 27 17 13 15 23 8 25 6 4 12 10 7 5 29 28 14 1 26 11 9 18 ;1.94585e+06
SL-B2 PR-50 GI-0.5;5;28 25 5 4 21 7 19 14 26 20 18 12 23 27 29 24 3 13 11 30 15 16 10 9 6 1 17 2 8 22 ;2.22017e+06;5 25 16 4 21 18 17 2 26 24 20 10 15 27 29 14 3 13 11 30 28 8 23 9 6 19 12 7 1 22 ;2.0119e+06
SL-B33 PR-50 GI-0.5;1;3 10 5 8 17 6 26 23 15 16 2 18 30 29 1 22 14 7 21 24 28 12 13 4 27 9 11 19 25 20 ;2.12153e+06;3 17 5 14 30 6 26 20 15 23 2 18 19 29 10 22 21 7 8 24 28 12 13 4 27 9 11 1 25 16 ;1.96902e+06
SL-B33 PR-50 GI-0.5;2;20 9 21 23 30 6 25 8 28 13 22 26 17 10 14 3 24 4 19 2 12 11 1 18 16 27 5 7 29 15 ;2.19692e+06;8 9 23 17 30 22 4 20 28 7 21 26 3 24 25 5 10 14 6 2 12 11 1 18 16 27 13 19 29 15 ;1.95977e+06
SL-B33 PR-50 GI-0.5;3;9 2 29 7 23 21 25 1 6 18 28 26 8 16 10 3 30 14 4 24 13 17 19 20 27 11 22 5 12 15 ;2.19246e+06;2 9 29 7 30 12 15 1 6 27 28 19 8 17 10 16 25 14 4 24 13 11 23 20 18 3 22 5 21 26 ;1.98842e+06
SL-B33 PR-50 GI-0.5;4;8 13 21 17 9 18 6 24 28 12 14 15 25 27 5 11 1 16 20 26 10 7 23 3 4 30 2 19 29 22 ;2.21611e+06;8 2 21 17 6 5 26 24 28 18 14 15 25 27 22 12 1 10 20 9 16 7 23 11 3 30 4 19 29 13 ;1.98549e+06
SL-B33 PR-50 GI-0.5;5;21 24 8 27 22 18 12 26 23 9 5 11 25 16 7 29 17 14 30 4 19 6 28 2 13 3 1 20 10 15 ;2.22265e+06;21 24 8 27 22 6 28 26 23 9 5 19 25 16 7 11 17 14 1 4 29 18 12 2 15 3 30 20 10 13 ;2.05821e+06
SL-B50 PR-50 GI-0.5;1;29 28 26 19 2 15 27 16 23 14 17 3 25 22 11 18 9 10 12 8 13 21 5 7 6 30 4 1 20 24 ;2.16039e+06;11 28 13 30 2 15 27 7 23 14 17 22 25 29 19 3 9 10 12 8 18 21 5 16 6 26 4 1 20 24 ;2.00446e+06
SL-B50 PR-50 GI-0.5;2;25 4 16 1 3 14 22 30 11 29 23 10 26 2 24 13 17 12 27 15 5 18 20 19 7 6 8 21 9 28 ;2.20781e+06;25 4 12 23 5 14 11 30 16 8 3 13 26 2 24 10 17 29 27 15 1 18 20 22 7 6 19 21 9 28 ;2.028e+06
SL-B50 PR-50 GI-0.5;3;22 29 28 19 12 20 11 24 9 25 30 13 3 23 1 5 6 15 18 26 14 7 16 21 10 8 27 4 2 17 ;2.14157e+06;2 6 28 19 12 20 1 24 9 25 16 3 13 23 27 4 29 15 18 26 14 30 11 21 10 8 7 5 22 17 ;1.99533e+06
SL-B50 PR-50 GI-0.5;4;16 8 10 17 13 3 29 30 18 27 1 20 21 28 23 19 9 5 22 4 11 15 26 7 14 12 24 25 6 2 ;2.20958e+06;16 8 29 17 13 3 27 11 18 10 1 25 20 26 23 19 9 15 22 4 30 5 28 7 6 2 24 21 14 12 ;1.99905e+06
SL-B50 PR-50 GI-0.5;5;27 15 23 16 1 29 21 4 12 28 7 20 22 26 5 17 11 10 18 9 6 2 14 30 13 25 24 8 3 19 ;2.21352e+06;27 1 24 16 22 23 8 4 28 20 7 15 3 26 5 17 11 10 18 9 6 2 14 30 13 25 29 21 12 19 ;2.01436e+06
SL-B2 PR-100 GI-0.1;1;22 4 25 9 13 12 29 7 28 11 21 24 8 14 17 6 26 19 15 23 20 18 30 1 3 2 16 10 27 5 ;2.19713e+06;18 11 27 7 19 3 24 9 22 4 21 14 15 26 8 6 28 17 13 23 20 30 10 1 12 2 16 29 25 5 ;1.94091e+06
SL-B2 PR-100 GI-0.1;2;2 16 22 29 30 19 26 1 9 18 4 5 6 8 25 28 23 14 10 12 11 20 13 3 21 24 17 27 15 7 ;2.18851e+06;17 16 5 8 6 11 26 10 4 18 14 2 7 24 20 28 23 21 27 12 22 19 29 13 3 9 1 15 25 30 ;1.93252e+06
SL-B2 PR-100 GI-0.1;3;27 30 4 6 3 12 23 10 2 16 7 20 29 24 1 17 26 21 11 13 9 14 25 18 15 8 28 22 5 19 ;2.18472e+06;27 15 4 2 30 18 14 23 19 16 10 20 17 25 29 5 26 21 3 7 9 12 1 13 24 8 6 28 22 11 ;1.89239e+06
SL-B2 PR-100 GI-0.1;4;10 14 9 21 19 1 28 2 30 3 11 13 18 26 23 5 22 25 20 27 8 7 24 12 16 6 17 29 4 15 ;2.2033e+06;10 9 7 22 26 25 28 14 2 3 20 13 30 15 11 5 21 1 29 27 12 18 24 8 16 6 23 17 4 19 ;1.92546e+06
SL-B2 PR-100 GI-0.1;5;12 1 15 21 18 27 28 2 5 29 4 13 22 17 16 6 20 9 10 11 7 3 25 14 30 19 8 24 26 23 ;2.16427e+06;1 11 13 21 30 25 9 2 28 16 29 23 27 3 22 6 7 4 10 15 8 20 14 26 18 19 17 12 5 24 ;1.93465e+06
SL-B66 PR-100 GI-0.1;1;17 19 1 9 10 29 13 5 11 4 25 16 28 27 3 6 21 12 23 30 22 8 15 14 26 24 7 2 18 20 ;2.22397e+06;2 19 17 9 25 10 12 26 29 4 13 16 3 27 28 6 1 14 23 20 22 8 15 11 7 24 5 18 30 21 ;1.94766e+06
SL-B66 PR-100 GI-0.1;2;20 8 14 29 13 3 12 10 2 7 4 11 19 25 6 1 22 16 21 15 23 27 9 24 5 26 17 18 28 30 ;2.2228e+06;9 8 18 7 13 28 26 11 2 29 21 24 25 23 6 1 10 27 15 5 19 22 20 3 12 4 17 14 16 30 ;1.91922e+06
SL-B66 PR-100 GI-0.1;3;26 5 20 24 23 3 6 1 18 28 12 30 14 27 25 2 8 13 22 17 7 11 21 19 9 4 15 10 29 16 ;2.23803e+06;26 17 7 24 22 4 5 30 8 14 12 1 20 27 15 2 18 9 21 25 3 6 28 16 13 11 23 10 29 19 ;1.90869e+06
SL-B66 PR-100 GI-0.1;4;24 10 22 17 27 7 2 1 18 29 13 21 11 26 28 19 8 5 3 6 20 25 30 16 23 15 4 12 14 9 ;2.17691e+06;24 10 25 13 28 9 5 1 18 11 27 4 15 16 3 19 8 2 29 6 20 22 26 21 23 30 17 12 14 7 ;1.93441e+06
SL-B66 PR-100 GI-0.1;5;19 9 11 2 3 8 10 23 15 18 28 17 25 12 7 24 14 30 16 21 26 29 13 20 1 6 22 5 4 27 ;2.2238e+06;12 26 22 2 28 30 11 23 15 8 3 14 10 16 7 25 6 9 19 21 17 24 13 20 1 18 29 27 4 5 ;1.88673e+06
SL-B100 PR-100 GI-0.1;1;7 14 22 29 12 23 20 30 2 24 25 15 6 17 13 16 5 19 21 8 18 28 10 26 3 1 11 4 27 9 ;2.2165e+06;7 14 22 27 25 23 15 30 11 4 8 21 29 28 18 26 5 3 20 12 13 24 10 16 2 17 6 1 19 9 ;1.91201e+06
SL-B100 PR-100 GI-0.1;2;12 26 21 8 4 27 19 1 7 25 6 23 13 28 20 5 3 16 30 22 24 10 17 9 29 14 11 15 2 18 ;2.19148e+06;3 20 21 4 11 12 19 16 25 18 28 17 24 6 26 9 29 1 27 22 13 23 10 8 5 14 30 15 7 2 ;1.87724e+06
SL-B100 PR-100 GI-0.1;3;16 12 7 26 22 4 10 9 18 17 8 2 1 24 21 3 20 11 27 19 13 30 5 28 23 29 14 25 6 15 ;2.20944e+06;13 12 30 26 22 15 27 28 18 6 24 2 1 8 23 29 20 11 17 19 3 4 5 25 10 16 14 9 21 7 ;1.9295e+06
SL-B100 PR-100 GI-0.1;4;30 16 17 23 19 21 3 27 24 28 7 20 26 14 6 12 10 15 25 29 8 2 5 11 4 18 1 22 13 9 ;2.22797e+06;15 4 17 23 19 7 14 2 6 11 28 20 29 10 25 30 22 1 24 3 8 27 18 12 16 5 26 21 13 9 ;1.92044e+06
SL-B100 PR-100 GI-0.1;5;25 28 9 16 23 1 7 4 21 12 24 19 5 13 14 26 27 3 2 8 29 30 11 18 17 6 10 20 15 22 ;2.19669e+06;26 28 16 22 23 10 13 18 21 12 11 19 24 15 7 25 27 14 2 8 1 30 3 20 6 17 29 9 4 5 ;1.9477e+06
SL-B2 PR-100 GI-0.2;1;19 4 27 8 18 21 28 17 16 3 5 11 2 23 20 13 12 30 7 26 14 1 15 10 6 22 29 25 24 9 ;2.22774e+06;21 4 2 8 18 22 28 7 11 23 27 20 15 30 12 3 17 1 6 26 14 5 16 9 19 13 29 25 24 10 ;1.96092e+06
SL-B2 PR-100 GI-0.2;2;18 27 30 29 24 7 13 22 9 5 2 6 20 16 15 10 26 8 17 28 1 3 12 21 25 14 23 11 4 19 ;2.18693e+06;22 27 30 1 23 7 13 15 9 18 19 28 17 16 2 6 21 8 20 14 26 12 24 10 5 25 29 11 4 3 ;1.93286e+06
SL-B2 PR-100 GI-0.2;3;21 22 25 19 17 6 28 15 14 2 12 1 24 23 30 10 9 3 4 29 5 7 20 8 11 18 13 27 26 16 ;2.18548e+06;10 24 22 2 17 6 11 28 26 29 13 1 7 23 30 25 21 3 19 14 16 5 20 8 12 18 4 27 9 15 ;1.92503e+06
SL-B2 PR-100 GI-0.2;4;14 4 23 1 13 5 7 17 2 26 29 27 22 20 19 9 8 11 16 3 21 28 15 10 24 30 12 6 25 18 ;2.21648e+06;13 17 19 7 14 2 27 4 21 26 16 11 1 20 6 9 8 24 10 3 5 22 15 23 28 30 29 12 25 18 ;1.93892e+06
SL-B2 PR-100 GI-0.2;5;19 13 24 7 23 10 22 11 17 25 14 2 5 18 9 26 20 21 29 15 27 16 30 1 28 8 6 4 12 3 ;2.20571e+06;22 14 24 25 30 21 10 19 7 13 20 4 8 15 9 26 5 2 29 18 17 16 23 1 28 11 6 27 12 3 ;1.95185e+06
SL-B66 PR-100 GI-0.2;1;28 7 12 16 6 23 30 2 21 15 5 22 11 10 20 14 25 1 29 26 8 18 27 19 4 9 13 24 3 17 ;2.14782e+06;14 7 3 16 6 15 11 10 21 23 17 22 30 2 20 28 27 1 12 26 8 18 29 19 4 9 13 24 25 5 ;1.92958e+06
SL-B66 PR-100 GI-0.2;2;28 17 16 3 15 19 25 9 26 21 7 23 30 4 22 14 20 6 29 12 8 27 11 1 18 13 2 5 10 24 ;2.25555e+06;30 3 16 17 4 19 25 14 7 21 1 26 11 29 24 5 8 6 27 12 20 2 28 10 18 13 15 9 23 22 ;1.92141e+06
SL-B66 PR-100 GI-0.2;3;12 6 4 2 29 20 15 19 25 7 5 26 9 17 22 28 30 8 10 18 24 16 1 21 23 14 11 27 13 3 ;2.2442e+06;6 20 12 2 4 22 24 19 5 23 29 26 18 30 7 28 9 17 10 8 15 16 1 21 11 14 25 27 13 3 ;1.96064e+06
SL-B66 PR-100 GI-0.2;4;17 28 19 8 21 29 13 7 15 27 11 14 4 25 26 30 12 22 1 2 18 5 23 20 10 16 9 3 6 24 ;2.14342e+06;15 21 30 8 12 29 19 7 28 27 11 14 4 17 26 13 9 22 23 2 18 5 1 20 10 16 25 3 6 24 ;1.94427e+06
SL-B66 PR-100 GI-0.2;5;21 13 1 25 4 3 20 15 5 7 8 9 10 26 16 18 27 30 2 12 14 11 28 17 24 19 29 23 22 6 ;2.15546e+06;21 15 30 24 4 26 20 13 5 19 8 9 10 25 23 18 27 17 1 16 22 12 28 2 3 7 29 11 14 6 ;1.93797e+06
SL-B100 PR-100 GI-0.2;1;15 4 20 3 29 8 22 11 14 16 1 2 19 17 23 25 13 27 5 7 18 26 30 28 10 9 6 24 12 21 ;2.16574e+06;15 5 28 3 30 13 22 8 21 25 1 2 19 17 23 20 29 27 14 7 18 11 26 4 10 9 6 24 12 16 ;1.95699e+06
SL-B100 PR-100 GI-0.2;2;6 26 5 28 22 16 25 18 9 10 17 24 23 12 8 19 11 21 14 15 4 30 29 20 7 27 13 2 3 1 ;2.20762e+06;3 1 14 28 25 16 22 18 9 5 17 24 7 26 8 30 11 21 27 15 19 4 29 6 12 23 13 10 2 20 ;1.95118e+06
SL-B100 PR-100 GI-0.2;3;11 5 9 27 19 6 3 30 17 20 2 4 23 21 22 13 1 15 28 24 26 14 12 8 25 29 16 18 7 10 ;2.20072e+06;3 10 15 4 19 25 28 30 2 18 24 20 23 21 27 13 9 1 16 17 26 14 7 8 6 29 22 11 12 5 ;1.91957e+06
SL-B100 PR-100 GI-0.2;4;12 29 27 2 17 26 25 1 20 28 16 15 6 8 23 10 24 18 3 21 13 22 5 30 14 9 19 4 7 11 ;2.16975e+06;17 29 27 2 25 26 13 16 20 4 6 15 12 8 21 1 10 18 3 23 22 19 24 28 14 9 11 5 7 30 ;1.94852e+06
SL-B100 PR-100 GI-0.2;5;22 26 11 14 4 30 21 9 29 23 20 28 18 7 24 13 6 10 19 25 1 12 2 16 5 27 8 17 15 3 ;2.23054e+06;22 18 7 14 4 30 21 9 6 3 15 28 23 16 25 13 29 10 12 24 26 19 1 2 17 20 8 5 27 11 ;1.96403e+06
SL-B2 PR-100 GI-0.3;1;24 15 4 7 8 20 19 21 14 13 11 27 28 22 17 26 1 5 25 16 18 6 12 30 2 9 3 23 10 29 ;2.23112e+06;8 20 7 10 5 9 19 16 14 24 11 1 13 22 17 26 27 15 28 21 4 6 12 3 2 23 30 18 25 29 ;1.90024e+06
SL-B2 PR-100 GI-0.3;2;28 4 30 12 6 23 20 24 15 9 14 3 21 11 5 26 16 13 7 17 1 19 25 18 2 29 8 10 22 27 ;2.17051e+06;28 4 30 12 17 7 14 22 15 9 3 20 2 11 16 25 6 21 1 27 29 5 19 18 13 23 8 10 26 24 ;1.97249e+06
SL-B2 PR-100 GI-0.3;3;6 30 20 8 24 22 4 1 13 10 14 28 15 5 9 11 16 17 29 3 26 25 27 2 18 21 23 19 12 7 ;2.2145e+06;17 16 5 8 7 22 30 1 13 10 14 28 3 26 23 11 20 29 6 24 25 4 27 19 18 21 9 15 12 2 ;1.96632e+06
SL-B2 PR-100 GI-0.3;4;14 12 23 22 16 2 4 19 3 6 28 15 13 26 5 7 17 29 21 11 25 9 18 1 8 27 20 24 30 10 ;2.12972e+06;13 12 23 16 22 2 19 14 3 6 28 15 11 26 20 7 17 29 21 27 25 18 9 1 24 8 4 5 30 10 ;1.96551e+06
SL-B2 PR-100 GI-0.3;5;22 23 20 27 14 26 5 9 24 19 11 6 8 17 15 18 28 10 29 12 1 3 7 4 30 2 25 13 16 21 ;2.19402e+06;29 12 15 11 14 4 5 28 22 7 27 6 8 2 20 23 18 10 21 24 30 3 17 26 1 16 9 13 19 25 ;1.91279e+06
SL-B66 PR-100 GI-0.3;1;17 1 30 20 22 16 24 13 14 2 21 19 18 27 28 9 10 25 5 4 3 11 23 15 7 29 26 6 8 12 ;2.23885e+06;17 1 30 12 5 25 9 18 11 13 27 10 24 14 19 6 8 16 22 4 3 21 23 15 7 29 26 28 2 20 ;1.97828e+06
SL-B66 PR-100 GI-0.3;2;17 5 29 3 8 16 28 27 4 23 11 2 9 20 18 22 19 30 6 14 13 10 1 25 12 21 26 24 7 15 ;2.20718e+06;9 6 13 25 30 3 28 27 4 23 17 19 8 2 18 22 29 20 16 14 7 10 1 11 12 21 26 24 5 15 ;1.94548e+06
SL-B66 PR-100 GI-0.3;3;12 29 15 8 4 17 18 23 26 28 6 11 21 9 1 27 25 19 3 7 13 22 2 10 5 24 14 30 20 16 ;2.21825e+06;16 22 15 17 4 8 18 23 27 28 6 11 5 9 1 26 25 19 12 7 13 29 10 2 21 3 24 30 20 14 ;1.97138e+06
SL-B66 PR-100 GI-0.3;4;24 1 13 25 30 12 27 26 28 5 22 20 4 19 18 3 7 21 8 6 14 29 15 17 11 2 10 23 16 9 ;2.22446e+06;19 8 13 25 30 6 12 3 21 5 26 20 4 28 22 7 10 15 18 1 14 17 29 2 24 27 11 23 16 9 ;1.94109e+06
SL-B66 PR-100 GI-0.3;5;19 21 8 2 4 12 14 1 29 6 9 28 23 16 17 13 18 30 5 27 20 15 10 3 25 24 26 7 11 22 ;2.2012e+06;19 23 8 3 4 29 2 21 12 6 22 30 16 28 17 13 9 1 15 27 20 5 10 11 25 18 26 14 7 24 ;1.95373e+06
SL-B100 PR-100 GI-0.3;1;10 15 21 18 14 19 30 2 26 13 4 6 3 24 16 29 23 9 25 11 17 12 7 28 1 5 22 20 27 8 ;2.18362e+06;10 15 21 11 30 19 27 4 26 9 22 6 3 24 16 12 8 18 25 14 17 29 7 28 1 5 2 20 23 13 ;1.96825e+06
SL-B100 PR-100 GI-0.3;2;11 26 30 23 13 18 2 1 28 7 17 27 10 14 9 21 6 29 8 5 19 15 20 22 25 4 3 16 12 24 ;2.30543e+06;6 26 9 23 22 25 2 1 12 11 8 27 21 17 3 30 10 13 19 5 29 15 20 14 18 4 7 16 28 24 ;2.00202e+06
SL-B100 PR-100 GI-0.3;3;12 14 16 30 22 15 10 21 2 23 11 25 27 18 5 26 6 19 28 20 29 17 13 9 8 3 1 7 4 24 ;2.22622e+06;16 14 3 26 25 12 10 1 2 23 11 19 8 18 5 30 6 15 28 20 29 17 13 9 27 22 21 7 4 24 ;1.99033e+06
SL-B100 PR-100 GI-0.3;4;28 12 7 4 21 20 25 13 5 8 17 9 23 24 27 15 22 11 18 30 10 19 29 26 2 1 16 3 14 6 ;2.12448e+06;29 12 25 4 21 20 7 15 23 19 17 5 18 9 27 24 22 11 13 30 10 8 26 28 2 1 16 3 14 6 ;1.98813e+06
SL-B100 PR-100 GI-0.3;5;25 27 19 2 22 5 18 8 24 15 30 21 11 17 12 7 3 10 26 6 1 9 14 23 29 20 13 4 16 28 ;2.14862e+06;8 14 19 2 30 5 10 27 24 17 11 21 29 15 12 7 25 18 26 6 1 9 20 23 22 3 13 16 4 28 ;1.9656e+06
SL-B2 PR-100 GI-0.5;1;6 14 22 8 11 27 4 20 10 7 13 3 1 12 18 21 23 15 25 2 28 5 29 17 24 9 16 19 30 26 ;2.15332e+06;18 14 12 26 22 13 23 20 4 7 11 2 1 8 6 21 3 27 25 15 28 5 29 17 10 9 16 19 30 24 ;1.9546e+06
SL-B2 PR-100 GI-0.5;2;25 3 26 21 28 8 16 5 7 4 2 14 17 24 27 10 12 19 18 20 22 9 1 29 23 6 30 15 13 11 ;2.19002e+06;25 3 8 22 28 5 16 17 30 4 29 14 26 24 27 10 12 19 18 15 21 7 6 20 23 1 9 2 13 11 ;1.96727e+06
SL-B2 PR-100 GI-0.5;3;17 25 26 23 5 6 8 1 14 30 10 20 16 21 29 7 9 4 12 2 24 19 15 3 11 27 13 18 28 22 ;2.15375e+06;17 3 26 15 5 9 22 1 14 30 10 2 16 4 29 24 28 21 12 20 6 23 18 7 11 27 13 8 25 19 ;1.91173e+06
SL-B2 PR-100 GI-0.5;4;11 18 4 26 5 8 27 10 23 20 9 30 28 15 6 17 16 7 3 1 29 2 13 14 22 24 21 25 12 19 ;2.18184e+06;2 18 28 26 5 25 11 16 29 20 4 13 30 15 6 17 10 7 3 1 23 14 9 21 22 27 24 12 8 19 ;1.98316e+06
SL-B2 PR-100 GI-0.5;5;24 17 16 30 23 22 5 1 27 29 26 10 15 25 18 9 4 3 8 6 28 19 7 21 11 13 2 12 14 20 ;2.20751e+06;24 17 29 30 18 28 14 1 12 27 10 26 7 9 16 23 4 15 8 13 22 19 3 21 11 6 2 25 5 20 ;1.9594e+06
SL-B66 PR-100 GI-0.5;1;26 23 22 27 29 19 11 28 17 3 8 12 13 25 7 24 21 15 20 16 5 6 30 18 4 10 14 1 9 2 ;2.16281e+06;2 8 22 27 29 16 11 3 15 30 23 12 13 25 7 24 21 17 20 19 5 6 28 18 9 10 14 1 4 26 ;1.97472e+06
SL-B66 PR-100 GI-0.5;2;15 30 21 23 29 19 12 13 22 26 4 17 10 3 5 11 25 18 1 24 8 7 2 20 9 28 6 14 27 16 ;2.205e+06;11 27 21 23 10 12 18 30 22 26 4 17 29 8 5 15 2 19 1 3 24 7 13 20 9 28 6 14 25 16 ;1.9972e+06
SL-B66 PR-100 GI-0.5;3;1 18 30 25 28 20 26 24 4 21 11 5 15 29 13 2 3 8 7 16 6 10 12 22 19 9 14 23 27 17 ;2.18558e+06;18 1 4 25 28 20 19 22 30 21 11 23 15 29 13 17 3 8 7 16 5 10 26 6 2 12 14 9 27 24 ;2.00267e+06
